Was,Kategorie,Unterkategorie,Nutzung,Wochentag,Rhythmus,Uhrzeit_Start,Uhrzeit_Ende,Wo,Koordinaten,Wer,Link,Werbegrafik,inaktiv,Letzte_Ueberpruefung,Kommentar,Kontakt,Telefonnummer,Kurzbeschreibung
Seminarraum,ressourcen,raum,leihen,4 wenn geöffnet,immer (drinnen),00:00,23:59,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,Libertäres Zentrum Magdeburg,https://libertaeres-zentrum-md.org/index.php/projektraume/,,,03.12.2025,,liz-md@riseup.net,,
"Werkzeug & Geräte aller Art, Wissen dazu",ressourcen,werkstatt,vor Ort,4 wenn geöffnet,immer (drinnen),,,"Gebäude 13, Porsestraße 19. 39104 Magdeburg",52.1080669/11.6337692,Macherburg,https://macherburg.de/,,,03.12.2025,,kontakt@macherburg.de,,
"Werkzeug & Geräte aller Art, Wissen dazu",ressourcen,werkstatt,vor Ort,4 wenn geöffnet,immer (drinnen),,,Leibnizstraße 32. 39104 Magdeburg,52.1195815/11.6291518,Netz39 e. V.,https://www.netz39.de/,,,03.12.2025,,kontakt@netz39.de,,
"Siebdruck-Werkstatt, Bastel-Werkstatt ",ressourcen,werkstatt,vor Ort,4 wenn geöffnet,immer (drinnen),00:00,23:59,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,Libertäres Zentrum Magdeburg,https://libertaeres-zentrum-md.org/index.php/projektraume/,Yes,,25.09.2025,,liz-md@riseup.net,,
Möbel- & Hausratservice,ressourcen,moebel,nehmen,4 wenn geöffnet,wöchentlich,09:00,12:00,Karl-Schmidt-Straße 9–11. 39104 Magdeburg,52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/moebel-und-hausratservice/,,,03.12.2025,,mhs@aqb-md.de,,
Secondhand-Shop,ressourcen,textilien,geben; nehmen,4 wenn geöffnet,wöchentlich,09:00,12:00,Karl-Schmidt-Straße 9–11. 39104 Magdeburg,52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/secondhandshop/,,,03.12.2025,,mhs@aqb-md.de,,
DRK-Kleiderkammer,ressourcen,textilien,nehmen,4 wenn geöffnet,wöchentlich,,,Ferdinand-von-Schill-Straße 33. 39116 Magdeburg,52.106184/11.583906,Deutsches Rotes Kreuz Regionalverband Magdeburg – Jerichower Land e. V.,https://www.drk-mdjl.de/angebote/existenzsichernde-hilfe/kleiderkammern.html,,,03.12.2025,,b.goehring@drk-mdjl.de,,
Bibliothek,ressourcen,medien,leihen,52 Dienstag,wöchentlich,17:00,19:00,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,Libertäres Zentrum Magdeburg,https://libertaeres-zentrum-md.org/index.php/bibliothek/,,,03.12.2025,,liz-md@riseup.net,,
Tante-Umme-Laden,ressourcen,schenken,geben; nehmen,52 Dienstag,wöchentlich,17:00,19:00,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,Libertäres Zentrum Magdeburg,https://libertaeres-zentrum-md.org/index.php/umsonstladen-2/,,,03.12.2025,,liz-md@riseup.net,,
D.I.Y.-Selbsthilfe- und -Fahrradwerkstatt,ressourcen,werkstatt,vor Ort,52 Dienstag,wöchentlich,14:00,18:00,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,Libertäres Zentrum Magdeburg,https://libertaeres-zentrum-md.org/index.php/veranstaltungen/,No,,25.09.2025,,liz-md@riseup.net,,
Fahrrad-Selbsthilfe-Werkstatt soliRADisch,ressourcen,werkstatt,vor Ort,"52 Dienstag; 
54 Donnerstag",wöchentlich,11:00,17:00,"Kavalier 4, Maybachstraße. 39104 Magdeburg",52.1233098/11.6217009,Landesjugendwerk der AWO Sachsen-Anhalt e. V.  ,https://soliradisch.wordpress.com/,soliradisch.jpg,,03.12.2025,an Feiertagen geschlossen,soliradisch@riseup.net,,Wir sind eine Fahrrad-Selbsthilfewerkstatt mit sozial-ökologischem Schwerpunkt in Magdeburg. Wir bieten Hilfe zur Selbsthilfe an und unterstützen dich bei deiner Fahrradreparatur. Wir sind angewiesen auf Spenden.
Repair-Café,ressourcen,werkstatt,vor Ort,53 Mittwoch,alle zwei Wochen,15:00,16:45,"„Pik-ASZ“, Leipziger Straße 43, Südeingang. 39120 Magdeburg",52.1040138/11.6199102,1. Repair-Café Magdeburg,https://www.repaircafe-md.de/,No,,25.09.2025,,repaircafe-md@gmx.net,,
Umsonstladen Salbke,ressourcen,schenken,geben; nehmen,53 Mittwoch,wöchentlich,17:00,19:00,Faulmannstraße 7. 39122 Magdeburg,52.0767425/11.6654435,Umsonstladen Salbke,https://umsonstladen-salbke-ev.de/,,,03.12.2025,,info@umsonstladen-salbke-ev.de,,
Fahrrad-Selbsthilfe-Werkstatt PaRADies,ressourcen,werkstatt,vor Ort,54 Donnerstag,wöchentlich,15:00,17:00,-- derzeit im Umzug --,Umzug,platz*machen e. V.,https://platzmachen.org/projekte/fahrradwerkstatt-paradies/,,inaktiv,03.12.2025,,kontakt@platzmachen.org,,
Vereinsgelände Soziale Mitte (Spenden-Annahme und -Ausgabe),ressourcen,schenken,geben; nehmen,55 Freitag,wöchentlich,10:00,17:00,In der Mittelwiese 1 a. 39122 Magdeburg,52.0498594/11.6763538,Integrationshilfe Sachsen-Anhalt e. V.,https://www.integrationshilfe-lsa.org/wordpress/wp-content/uploads/2015/10/Sozialdienste-im-%C3%9Cberblick-20151011.pdf,,,03.12.2025,,,0391-504666,
