Was,Kategorie,Unterkategorie,Nutzung,Wochentag,Rhythmus,Uhrzeit_Start,Uhrzeit_Ende,Wo,Koordinaten,Wer,Link,Werbegrafik,inaktiv,Letzte_Ueberpruefung,Kommentar,Kontakt,Telefonnummer_intern,Kurzbeschreibung,ist_Kopie
Lebensmittelverteilung,lebensmittel,Essenausgabe,nehmen,53 Mittwoch,wöchentlich,16:30,open end,"„Paula“ (Laden des AllesRetter Magdeburg e. V.), Berliner Chaussee 43. 39114 Magdeburg",52.1295907/11.6699899,AllesRetter Magdeburg e. V.,https://www.allesretter-magdeburg.de/,No,inaktiv,25.09.2025,mehr unter https://www.allesretter-magdeburg.de/seite/620175/verteiler%C3%BCbersicht.html,allesretter-magdeburg@outlook.com,,"Zu unseren Verteil-Stellen kann jede*r kommen, der*die Lebensmittel retten möchte. Sie benötigen keinen Nachweis oder Bescheinigung.",nein
Lebensmittelverteilung,lebensmittel,Essenausgabe,nehmen,54 Donnerstag,wöchentlich,12:30,open end,"Pauluskirche, Goethestraße 25. 39108 Magdeburg",52.132769/11.608059,AllesRetter Magdeburg e. V.,https://www.allesretter-magdeburg.de/,No,inaktiv,25.09.2025,mehr unter https://www.allesretter-magdeburg.de/seite/620175/verteiler%C3%BCbersicht.html,allesretter-magdeburg@outlook.com,,"Zu unseren Verteil-Stellen kann jede*r kommen, der*die Lebensmittel retten möchte. Sie benötigen keinen Nachweis oder Bescheinigung.",nein
Lebensmittelverteilung,lebensmittel,Essenausgabe,nehmen,55 Freitag,wöchentlich,12:30,open end,"ASZ Olvenstedt, Bruno-Beye-Ring 3. 39130 Magdeburg",52.147222/11.580102,AllesRetter Magdeburg e. V.,https://www.allesretter-magdeburg.de/,No,inaktiv,25.09.2025,mehr unter https://www.allesretter-magdeburg.de/seite/620175/verteiler%C3%BCbersicht.html,allesretter-magdeburg@outlook.com,,"Zu unseren Verteil-Stellen kann jede*r kommen, der*die Lebensmittel retten möchte. Sie benötigen keinen Nachweis oder Bescheinigung.",nein
Lebensmittelverteilung,lebensmittel,Essenausgabe,nehmen,56 Samstag,wöchentlich,12:30,open end,"Kulturzentrum „Guck Mal!“, Babelsberger Straße 9. 39114 Magdeburg",52.115745/11.663098,AllesRetter Magdeburg e. V.,https://www.allesretter-magdeburg.de/,No,inaktiv,25.09.2025,mehr unter https://www.allesretter-magdeburg.de/seite/620175/verteiler%C3%BCbersicht.html,allesretter-magdeburg@outlook.com,,"Zu unseren Verteil-Stellen kann jede*r kommen, der*die Lebensmittel retten möchte. Sie benötigen keinen Nachweis oder Bescheinigung.",nein
Leih-Fahrzeuge (Auto bis Transporter),ressourcen,mobilitaet,leihen,1 alle Tage,immer (draußen),00:00,23:59,mehrere Orte,Internet,teilAuto,https://teilauto.net/,,,03.12.2025,,kontakt@teilauto.net,,,nein
Mediation im Kiez,begegnung,,nehmen,52 Dienstag,wöchentlich,17:00,19:00,Am Sudenburger Tor 5. 39104 Magdeburg,52.1195156/11.6239075,platz*machen e. V.,https://platzmachen.org/projekte/mediation-im-kiez/,,inaktiv,03.12.2025,,,,,nein
Medien,ressourcen,medien,leihen,0 wenn geöffnet (variiert),immer (drinnen),,,Breiter Weg 109. 39104 Magdeburg,52.1139405/11.6103131,Fahr-Bibliothek,https://stadtbibliothek.magdeburg.de/,,,03.12.2025,"nur mit Bibliotheksausweis (siehe https://www.magdeburg.de/index.php?object=tx,698.8844&ModID=10&FID=37.1722.1)",fahrbibliothek@stadtbibliothek.magdeburg.de,,,nein
Möbel- & Hausratservice,ressourcen,moebel,nehmen,2 werktags,wöchentlich,09:00,12:00,Karl-Schmidt-Straße 9–11. 39104 Magdeburg,52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/moebel-und-hausratservice/,,,03.12.2025,,mhs@aqb-md.de,,,nein
Möbel- & Hausratservice,ressourcen,moebel,nehmen,"51 Montag; 
53 Mittwoch; 
54 Donnerstag",wöchentlich,12:30,15:00,Karl-Schmidt-Straße 9–11. 39104 Magdeburg,52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/moebel-und-hausratservice/,,,03.12.2025,,mhs@aqb-md.de,,,ja
Möbel- & Hausratservice,ressourcen,moebel,nehmen,52 Dienstag,wöchentlich,12:30,16:00,Karl-Schmidt-Straße 9–11. 39104 Magdeburg,52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/moebel-und-hausratservice/,,,03.12.2025,,mhs@aqb-md.de,,,ja
Möbel- & Hausratservice,ressourcen,moebel,nehmen,55 Freitag,wöchentlich,12:30,14:00,Karl-Schmidt-Straße 9–11. 39104 Magdeburg,52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/moebel-und-hausratservice/,,,03.12.2025,,mhs@aqb-md.de,,,ja
Musik-Ausstattung,ressourcen,aktion,leihen,0 wenn geöffnet (variiert),immer (drinnen),,,Neustädter Straße 6. 39104 Magdeburg,52.134031/11.645950,Katholische Studierendengemeinde Magdeburg KSG,https://ksg-magdeburg.de/,,,03.12.2025,,,,,nein
Nachbarschaftsbrunch,begegnung,Essenausgabe,vor Ort,57 Sonntag,jeden 1. im Monat,11:00,14:00,Am Sudenburger Tor 5. 39104 Magdeburg,52.1195156/11.6239075,platz*machen e. V.,https://platzmachen.org/projekte/nachbarschaftsbrunch/,,inaktiv,03.12.2025,,kontakt@mitmischen-md.de,,,nein
offener Raum für dich,ressourcen,raum,leihen,0 wenn geöffnet (variiert),immer (drinnen),00:00,23:59,Am Sudenburger Tor 5. 39104 Magdeburg,52.1195156/11.6239075,platz*machen e. V.,https://platzmachen.org/projekte/tacheles/,,inaktiv,03.12.2025,,kontakt@softwerke.md,,,nein
"offener Raum für dich (Co-Working, WLAN)",ressourcen,raum,vor Ort,2 werktags,Ladenzeiten (drinnen),,,Breiter Weg 32-34. 39104 Magdeburg,52.1352507/11.6388062,in:takt,https://intakt-magdeburg.de/,intakt.jpg,,24.02.2026,"Ladenzeiten: Montag 13:00–15:00 Uhr, Dienstag 15:00–19:00 Uhr, Donnerstag 15:00–17:00 Uhr;
mehr Infos auch unter https://www.instagram.com/intakt_magdeburg/",intakt@ovgu.de,,"In unseren Öffnungszeiten könnt ihr ohne Anmeldung vorbeikommen und den Raum nach eurem Belieben nutzen! Egal ob ihr einfach nur das kostenlose WLAN abgreifen oder einen ruhigen Ort in der Magdeburger Innenstadt zum Arbeiten sucht, ihr seid bei uns an der richtigen Adresse!",nein
"Ökogarten (Streuobst, Platz, freie Beete)",begegnung,,vor Ort,0 wenn geöffnet (variiert),immer (drinnen),,,Klosterwuhne 27. 39124 Magdeburg,52.165516/11.639293,BUND-Kreisgruppe Magdeburg,https://www.bund-sachsen-anhalt.com/service/termine/detail/event/garteneinsaetze-bund-oekogarten-magdeburg/,,,03.12.2025,,,mail@hartmut-koblischke.de,,nein
Proberaum,ressourcen,raum,leihen,0 wenn geöffnet (variiert),immer (drinnen),00:00,23:59,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,Libertäres Zentrum Magdeburg,https://libertaeres-zentrum-md.org/index.php/projektraume/,Yes,,25.09.2025,,liz-md@riseup.net,,,nein
Radweg-Melder Magdeburg,digitales,mobilitaet,geben,1 alle Tage,immer (online),00:00,23:59,mehrere Orte,Internet,ADFC Magdeburg,https://adfc-magdeburg.de/radwegmelder/,,,20.1.2026,,kontakt@adfc-magdeburg.de,,,nein
Raum für Veranstaltungen,ressourcen,raum,leihen,1 alle Tage,immer (drinnen),00:00,23:59,Johannes-Schlaf-Straße 10. 39110 Magdeburg,52.1308194/11.5808246,Rand und Band e. V. im Uncrowd Kollektivhaus,https://www.uncrowd-home.org/veranstaltungsraum/,uncrowd-raum.jpg,,17.3.2026,Nutzung nach vorheriger Absprache jederzeit möglich,kontakt@uncrowd-home.org,,Wir bieten auf Anfrage einen Veranstaltungsraum für bis zu 20 Personen. Detaillierte Infos findest du hier: https://www.freiwilligenagentur-magdeburg.de/raumsuche/#/angebot/1833 .,nein
"Räume mit Büchertausch-Regal, Spielen vor Ort, Lebensmittel-Rettung",ressourcen,medien; raum,leihen,0 wenn geöffnet (variiert),immer (drinnen),,,Neustädter Straße 6. 39104 Magdeburg,52.134031/11.645950,Evangelische Studierendengemeinde Magdeburg ESG,https://esgm.ekmd-online.de/kontakt/raumplan/,,,03.12.2025,,info@esg-magdeburg.de,,,nein
Repair-Café,ressourcen,werkstatt,vor Ort,53 Mittwoch,alle zwei Wochen,15:00,16:45,"„Pik-ASZ“, Leipziger Straße 43, Südeingang. 39120 Magdeburg",52.1040138/11.6199102,1. Repair-Café Magdeburg,https://www.repaircafe-md.de/,No,,25.09.2025,,repaircafe-md@gmx.net,,,nein
Rot-Kreuz-Shop (Spenden-Annahme),lebensmittel,,geben,2 werktags,wöchentlich,09:00,17:00,Breiter Weg 19 a. 39104 Magdeburg,52.129207/11.635916,Deutsches Rotes Kreuz Regionalverband Magdeburg – Jerichower Land e. V.,https://www.drk-mdjl.de/angebote/existenzsichernde-hilfe/kleiderlaeden.html,,,03.12.2025,,b.goehring@drk-mdjl.de,,,nein
Secondhand-Shop,ressourcen,textilien,geben; nehmen,2 werktags,wöchentlich,09:00,12:00,Karl-Schmidt-Straße 9–11. 39104 Magdeburg,52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/secondhandshop/,,,03.12.2025,,mhs@aqb-md.de,,,nein
Secondhand-Shop,ressourcen,textilien,geben; nehmen,"51 Montag; 
53 Mittwoch; 
54 Donnerstag",wöchentlich,12:30,15:00,Karl-Schmidt-Straße 9–11. 39104 Magdeburg,52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/secondhandshop/,,,03.12.2025,,mhs@aqb-md.de,,,ja
Secondhand-Shop,ressourcen,textilien,geben; nehmen,52 Dienstag,wöchentlich,12:30,16:00,Karl-Schmidt-Straße 9–11. 39104 Magdeburg,52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/secondhandshop/,,,03.12.2025,,mhs@aqb-md.de,,,ja
Secondhand-Shop,ressourcen,textilien,geben; nehmen,55 Freitag,wöchentlich,12:30,14:00,Karl-Schmidt-Straße 9–11. 39104 Magdeburg,52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/secondhandshop/,,,03.12.2025,,mhs@aqb-md.de,,,ja
Seminarraum,ressourcen,raum,leihen,0 wenn geöffnet (variiert),immer (drinnen),00:00,23:59,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,Libertäres Zentrum Magdeburg,https://libertaeres-zentrum-md.org/index.php/projektraume/,,,03.12.2025,,liz-md@riseup.net,,,nein
"Siebdruck-Werkstatt, Bastel-Werkstatt ",ressourcen,werkstatt,vor Ort,0 wenn geöffnet (variiert),immer (drinnen),00:00,23:59,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,Libertäres Zentrum Magdeburg,https://libertaeres-zentrum-md.org/index.php/projektraume/,Yes,,25.09.2025,,liz-md@riseup.net,,,nein
Sozialkaufhaus,ressourcen,moebel,geben; nehmen,"51 Montag; 
53 Mittwoch; 
55 Freitag",wöchentlich,10:00,14:00,Lüneburger Straße 25. 39106 Magdeburg,52.1466904/11.6393272,Help 2007 e. V.,https://help2007.de/,,,03.12.2025,,info@help2007.de,,,nein
Sozialkaufhaus,ressourcen,moebel,geben; nehmen,"52 Dienstag; 
54 Donnerstag",wöchentlich,10:00,17:00,Lüneburger Straße 25. 39106 Magdeburg,52.1466904/11.6393272,Help 2007 e. V.,https://help2007.de/,,,03.12.2025,,info@help2007.de,,,ja
Sozialkaufhaus Magdeburg,ressourcen,moebel,nehmen,"51 Montag; 
53 Mittwoch",wöchentlich,09:00,16:00,Bruno-Taut-Ring 119. 39130 Magdeburg,52.1531349/11.5835023,BVIK gGmbH,https://bvik-sozialkaufhaus.de/,,,03.12.2025,,sozialkaufhaus-md@bvik.de,,,nein
Sozialkaufhaus Magdeburg,ressourcen,moebel,nehmen,"52 Dienstag; 
54 Donnerstag",wöchentlich,09:00,18:00,Bruno-Taut-Ring 119. 39130 Magdeburg,52.1531349/11.5835023,BVIK gGmbH,https://bvik-sozialkaufhaus.de/,,,03.12.2025,,sozialkaufhaus-md@bvik.de,,,ja
Sozialkaufhaus Magdeburg,ressourcen,moebel,nehmen,55 Freitag,wöchentlich,09:00,14:00,Bruno-Taut-Ring 119. 39130 Magdeburg,52.1531349/11.5835023,BVIK gGmbH,https://bvik-sozialkaufhaus.de/,,,03.12.2025,,sozialkaufhaus-md@bvik.de,,,ja
"Spiele, Medien, Raum",ressourcen,medien; raum,leihen,0 wenn geöffnet (variiert),immer (drinnen),,,Breiter Weg 109. 39104 Magdeburg,52.1368549/11.6388989,Stadt-Bibliothek Zentrale,https://stadtbibliothek.magdeburg.de/,,,03.12.2025,"nur mit Bibliotheksausweis (siehe https://www.magdeburg.de/index.php?object=tx,698.8844&ModID=10&FID=37.1722.1)",stadtbibliothek@magdeburg.de,,,nein
"Spiele, Medien, Raum",ressourcen,medien; raum,leihen,0 wenn geöffnet (variiert),immer (drinnen),,,Olvenstedter Graseweg 37. 39128 Magdeburg,52.1598932/11.6051958,Stadtteil-Bibliothek Flora-Park,https://stadtbibliothek.magdeburg.de/,,,03.12.2025,"nur mit Bibliotheksausweis (siehe https://www.magdeburg.de/index.php?object=tx,698.8844&ModID=10&FID=37.1722.1)",bibliothek.florapark@stadt.magdeburg.de,,,nein
"Spiele, Medien, Raum",ressourcen,medien; raum,leihen,0 wenn geöffnet (variiert),immer (drinnen),,,Kosmos-Promenade 6. 39118 Magdeburg,52.089969/11.613756,Stadtteil-Bibliothek Reform,https://stadtbibliothek.magdeburg.de/,,,03.12.2025,"nur mit Bibliotheksausweis (siehe https://www.magdeburg.de/index.php?object=tx,698.8844&ModID=10&FID=37.1722.1)",bibliothek.reform@stadt.magdeburg.de,,,nein
"Spiele, Medien, Raum",ressourcen,medien; raum,leihen,0 wenn geöffnet (variiert),immer (drinnen),,,Halberstädter Straße 55. 39112 Magdeburg,52.1139405/11.6103131,Stadtteil-Bibliothek Sudenburg,https://stadtbibliothek.magdeburg.de/,,,03.12.2025,"nur mit Bibliotheksausweis (siehe https://www.magdeburg.de/index.php?object=tx,698.8844&ModID=10&FID=37.1722.1)",bibliothek.sudenburg@stadt.magdeburg.de,,,nein
Spieleabend,begegnung,spielen,vor Ort,51 Montag,jeden 2. im Monat,18:30,22:00,Annastraße 40. 39108 Magdeburg,52.1285000/11.6096923,ERNAs LebensMittelPunkt.,https://ernas-lebensmittelpunkt.de/veranstaltungen.php,No,,07.03.2025,,info@esg-magdeburg.de,,,nein
Spieleabend,begegnung,spielen,vor Ort,54 Donnerstag,alle zwei Wochen,17:00,open end,Breiter Weg 32-34. 39104 Magdeburg,52.1352507/11.6388062,in:takt,https://intakt-magdeburg.de/kalender/,intakt.jpg,,25.09.2025,mehr Infos auch unter https://www.instagram.com/intakt_magdeburg/,intakt@ovgu.de,,,nein
Spieleabend,begegnung,spielen,vor Ort,53 Mittwoch,jeden 3. Mi im Monat,17:00,19:00,Maxim-Gorki-Straße 40. 39108 Magdeburg,52.1308973/11.6131598,Stadtteilladen „Mitmischen“ ,https://mitmischen-md.de/,Yes,inaktiv,25.09.2025,,kontakt@platzmachen.org,,,nein
Stammtisch zu Themen der Selbstbestimmung im Internet,begegnung,,vor Ort,55 Freitag,jeden 2. im Monat,19:30,21:00,Leibnizstraße 32 (Netz 39 e. V.). 39104 Magdeburg,52.1195815/11.6291518,Softwerke Magdeburg e. V.,https://softwerke.md,No,aktiv,25.09.2025,,kontakt@platzmachen.org,,,nein
Tafel-Station: Lebensmittel-Ausgabe & Mittagsversorgung,lebensmittel,Essenausgabe,nehmen,"51 Montag; 
52 Dienstag; 
53 Mittwoch; 
54 Donnerstag",wöchentlich,10:00,11:00,Karl-Schmidt-Straße 9–11. 39104 Magdeburg,52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/standorte-der-tafel-magdeburg/,,,03.12.2025,zusätzlich zur Ausgabe Mittagsversorgung vor Ort jeden Werktag 11:30–13:00 Uhr,info@aqb-md.de,,,nein
Tafel-Station: Lebensmittel-Ausgabe & Mittagsversorgung,lebensmittel,Essenausgabe,nehmen,"51 Montag; 
52 Dienstag; 
53 Mittwoch; 
54 Donnerstag",wöchentlich,10:00,11:00,St.-Josef-Straße 82. 39130 Magdeburg,52.1527153/11.5822904,AQB gGmbH,https://aqb-md.de/standorte-der-tafel-magdeburg/,,,03.12.2025,zusätzlich zur Ausgabe Mittagsversorgung vor Ort jeden Werktag 11:30–13:00 Uhr,info@aqb-md.de,,,nein
Tafel-Station: Lebensmittel-Ausgabe & Mittagsversorgung,lebensmittel,Essenausgabe,nehmen,55 Freitag,wöchentlich,11:00,12:00,Karl-Schmidt-Straße 9–11. 39104 Magdeburg,52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/standorte-der-tafel-magdeburg/,,,03.12.2025,zusätzlich zur Ausgabe Mittagsversorgung vor Ort jeden Werktag 11:30–13:00 Uhr,info@aqb-md.de,,,ja
Tafel-Station: Lebensmittel-Ausgabe & Mittagsversorgung,lebensmittel,Essenausgabe,nehmen,55 Freitag,wöchentlich,11:00,12:00,St.-Josef-Straße 82. 39130 Magdeburg,52.1527153/11.5822904,AQB gGmbH,https://aqb-md.de/standorte-der-tafel-magdeburg/,,,03.12.2025,zusätzlich zur Ausgabe Mittagsversorgung vor Ort jeden Werktag 11:30–13:00 Uhr,info@aqb-md.de,,,ja
Tafel-Station: Lebensmittel-Ausgabe & Mittagsversorgung,lebensmittel,Essenausgabe,nehmen,"52 Dienstag; 
53 Mittwoch; 
54 Donnerstag",wöchentlich,14:00,15:00,Karl-Schmidt-Straße 9–11. 39104 Magdeburg,52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/standorte-der-tafel-magdeburg/,,,03.12.2025,zusätzlich zur Ausgabe Mittagsversorgung vor Ort jeden Werktag 11:30–13:00 Uhr,info@aqb-md.de,,,ja
Tafel-Station: Lebensmittel-Ausgabe & Mittagsversorgung,lebensmittel,Essenausgabe,nehmen,"52 Dienstag; 
53 Mittwoch; 
54 Donnerstag",wöchentlich,14:00,15:00,St.-Josef-Straße 82. 39130 Magdeburg,52.1527153/11.5822904,AQB gGmbH,https://aqb-md.de/standorte-der-tafel-magdeburg/,,,03.12.2025,zusätzlich zur Ausgabe Mittagsversorgung vor Ort jeden Werktag 11:30–13:00 Uhr,info@aqb-md.de,,,ja
Tafel-Station: mobile Lebensmittel-Ausgabe,lebensmittel,Essenausgabe,nehmen,52 Dienstag,wöchentlich,14:00,14:30,"Kulturzentrum Feuerwache Süd, Halberstädter Straße 140. 39112 Magdeburg",52.109848/11.598548,AQB gGmbH,https://aqb-md.de/standorte-der-tafel-magdeburg/,,,03.12.2025,,info@aqb-md.de,,,nein
Tafel-Station: mobile Lebensmittel-Ausgabe,lebensmittel,Essenausgabe,nehmen,53 Mittwoch,wöchentlich,14:00,14:30,"Adalbert-Kirche, Neptunweg 13. 39118 Magdeburg",52.086849/11.608590,AQB gGmbH,https://aqb-md.de/standorte-der-tafel-magdeburg/,,,03.12.2025,,info@aqb-md.de,,,nein
Tafel-Station: mobile Lebensmittel-Ausgabe,lebensmittel,Essenausgabe,nehmen,54 Donnerstag,wöchentlich,14:00,14:30,"Jugendclub „Oase“, Pablo-Neruda-Straße 11. 39126 Magdeburg",52.168699/11.635900,AQB gGmbH,https://aqb-md.de/standorte-der-tafel-magdeburg/,,,03.12.2025,,info@aqb-md.de,,,nein
Tante-Umme-Laden,ressourcen,,geben; nehmen,56 Samstag,jeden letzten im Monat,12:00,14:00,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,Libertäres Zentrum Magdeburg,https://libertaeres-zentrum-md.org/index.php/umsonstladen-2/,,,03.12.2025,,liz-md@riseup.net,,,ja
Tante-Umme-Laden,ressourcen,,geben; nehmen,52 Dienstag,wöchentlich,17:00,19:00,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,Libertäres Zentrum Magdeburg,https://libertaeres-zentrum-md.org/index.php/umsonstladen-2/,,,03.12.2025,,liz-md@riseup.net,,,nein
"Tauschbörse „Bring 4, Nimm 3“",ressourcen,textilien,geben; nehmen,"51 Montag; 
53 Mittwoch; 
54 Donnerstag",wöchentlich,9:00,15:00,"Jugendclub „OASE“, Pablo-Neruda-Straße 11. 39126 Magdeburg",52.1686975/11.6359064,AQB gGmbH,https://aqb-md.de/tauschboerse-bring-4-nimm-3/,,,17.3.2026,,mhs@aqb-md.de,,,nein
"Tauschbörse „Bring 4, Nimm 3“",ressourcen,textilien,geben; nehmen,52 Dienstag,wöchentlich,9:00,16:00,"Jugendclub „OASE“, Pablo-Neruda-Straße 11. 39126 Magdeburg",52.1686975/11.6359064,AQB gGmbH,https://aqb-md.de/tauschboerse-bring-4-nimm-3/,,,17.3.2026,,mhs@aqb-md.de,,,ja
"Tauschbörse „Bring 4, Nimm 3“",ressourcen,textilien,geben; nehmen,55 Freitag,wöchentlich,9:00,14:00,"Jugendclub „OASE“, Pablo-Neruda-Straße 11. 39126 Magdeburg",52.1686975/11.6359064,AQB gGmbH,https://aqb-md.de/tauschboerse-bring-4-nimm-3/,,,17.3.2026,,mhs@aqb-md.de,,,ja
Trost-Café,begegnung,,vor Ort,52 Dienstag,jeden 2. im Monat,14:30,15:30,Othrichstraße 30. 39128 Magdeburg,52.1531955/11.6157107,Nachbarschaftszentrum Neue Wege e. V.,https://www.neue-wege-md.de/angebote/,,,03.12.2025,,kontakt@platzmachen.org,,,nein
Umsonstladen Salbke,ressourcen,,geben; nehmen,53 Mittwoch,wöchentlich,17:00,19:00,Faulmannstraße 7. 39122 Magdeburg,52.0767425/11.6654435,Umsonstladen Salbke,https://umsonstladen-salbke-ev.de/,,,03.12.2025,,info@umsonstladen-salbke-ev.de,,,nein
Umsonstladen Salbke,ressourcen,,geben; nehmen,57 Sonntag,wöchentlich,17:00,19:00,Faulmannstraße 7. 39122 Magdeburg,52.0767425/11.6654435,Umsonstladen Salbke,https://umsonstladen-salbke-ev.de/,,,03.12.2025,,info@umsonstladen-salbke-ev.de,,,ja
veganer Stammtisch (mit Mitbring-Buffet),begegnung,Futtern,vor Ort,57 Sonntag,jeden 1. im Monat,15:00,18:00,Maxim-Gorki-Straße 40. 39108 Magdeburg,52.1308973/11.6131598,Stadtteilladen „Mitmischen“ ,https://www.instagram.com/vegantreff.md/,,,03.12.2025,bitte vorher anmelden,kontakt@platzmachen.org,,,nein
Vereinsgelände Soziale Mitte (Spenden-Annahme und -Ausgabe),ressourcen,,geben; nehmen,55 Freitag,wöchentlich,10:00,17:00,In der Mittelwiese 1 a. 39122 Magdeburg,52.0498594/11.6763538,Integrationshilfe Sachsen-Anhalt e. V.,https://www.integrationshilfe-lsa.org/wordpress/wp-content/uploads/2015/10/Sozialdienste-im-%C3%9Cberblick-20151011.pdf,,,03.12.2025,,,0391-504666,,nein
Verschenkeregal,ressourcen,textilien,geben; nehmen,2 werktags,Ladenzeiten (drinnen),,,Breiter Weg 32-34. 39104 Magdeburg,52.1352507/11.6388062,in:takt,https://intakt-magdeburg.de/,intakt.jpg,,10.02.2023,"Ladenzeiten: Montag 13:00–15:00 Uhr, Dienstag 15:00–19:00 Uhr, Donnerstag 15:00–17:00 Uhr;
mehr Infos auch unter https://www.instagram.com/intakt_magdeburg/",intakt@ovgu.de,,"Wir haben ein frei zugängliches Tauschregal, bei dem ihr nach neuen Klamotten stöbern oder alte Klamotten von euch abgeben könnt.",nein
Verschenkeregal,ressourcen,,geben; nehmen,1 alle Tage,immer (drinnen),00:00,23:59,Walther-Rathenau-Straße 19. 39106 Magdeburg,52.1387286/11.6482829,IKUS im InterKultiTreff,https://www.studentenwerk-magdeburg.de/kultur/interkultitreff/,,,03.12.2025,,ikus@ovgu.de,,,nein
Verschenkeregal,ressourcen,,geben; nehmen,1 alle Tage,immer (draußen),00:00,23:59,Thiemstraße 13. 39104 Magdeburg,52.1060948/11.6383272,kollekTHIEM,https://kollekthiem.de/aktuelles/,No,,21.11.2021,,info@thiembuktu.de,,,nein
Verschenkeregal,ressourcen,,geben; nehmen,1 alle Tage,immer (draußen),00:00,23:59,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,Libertäres Zentrum Magdeburg,https://libertaeres-zentrum-md.org/index.php/projektraume/,No,,23.11.2022,,liz-md@riseup.net,,,nein
"Werkzeug & Geräte aller Art, Wissen dazu",ressourcen,werkstatt,vor Ort,0 wenn geöffnet (variiert),immer (drinnen),,,"Gebäude 13, Porsestraße 19. 39104 Magdeburg",52.1080669/11.6337692,Macherburg,https://macherburg.de/,,,03.12.2025,,kontakt@macherburg.de,,,nein
"Werkzeug & Geräte aller Art, Wissen dazu",ressourcen,werkstatt,vor Ort,0 wenn geöffnet (variiert),immer (drinnen),,,Leibnizstraße 32. 39104 Magdeburg,52.1195815/11.6291518,Netz39 e. V.,https://www.netz39.de/,,,03.12.2025,,kontakt@netz39.de,,,nein
